,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
0,Alec Peters,2017,,79.25,80.75,82.75,105.0,,,,,232.0,8.8,8.75,10.0,,,
1,Andrew Jones,2017,,75.0,76.25,78.5,99.5,35.0,134.5,27.0,126.5,185.0,4.9,8.5,9.0,,11.38,3.35
2,Bam Adebayo,2017,,80.75,81.75,86.75,108.0,38.5,146.5,33.5,141.5,243.0,5.2,9.5,8.75,,11.94,3.24
3,Caleb Swanigan,2017,,79.5,80.5,87.0,108.0,,,,,246.0,,9.5,10.25,,,
4,Cameron Oliver,2017,,79.0,80.25,85.25,106.5,39.5,146.0,28.0,134.5,239.0,7.7,9.5,10.25,,12.17,3.16
5,Chris Boucher,2017,,80.0,81.5,88.0,110.5,,,,,182.0,5.4,9.25,10.5,,,
6,D.J. Wilson,2017,,80.75,82.5,87.0,109.5,,,,,234.0,6.4,9.25,10.25,,,
7,Damyean Dotson,2017,,76.5,77.5,81.0,100.0,38.0,138.0,31.5,131.5,205.0,5.3,8.5,9.25,,11.18,3.13
8,Davon Reed,2017,,76.5,77.5,84.0,102.0,36.0,138.0,28.5,130.5,206.0,6.5,9.25,9.5,,11.37,3.34
9,De'Aaron Fox,2017,,74.0,75.25,78.5,100.0,,,,,170.0,4.5,8.5,8.5,,,
10,Derrick Walton,2017,,71.0,72.75,74.5,95.0,32.5,127.5,36.0,131.0,189.0,5.8,8.0,8.5,,11.28,3.29
11,Derrick White,2017,,75.25,76.5,79.5,101.5,36.5,138.0,35.5,137.0,190.0,6.2,8.25,8.5,,10.84,3.08
12,Devin Robinson,2017,,79.0,80.25,84.75,106.0,41.5,147.5,35.5,141.5,190.0,3.2,9.25,10.25,,12.85,3.23
13,Dillon Brooks,2017,,77.0,78.0,78.0,100.5,37.5,138.0,31.0,131.5,220.0,7.5,8.25,9.25,,11.14,3.21
14,Donovan Mitchell,2017,,73.25,75.0,82.0,97.0,40.5,137.5,36.5,133.5,211.0,5.9,8.5,9.5,,11.53,3.01
